ChEMBL_ID,smiles,VSA_EState4,SlogP_VSA3,PNSA1,n5AHRing,PEOE_VSA13,VSA_EState8,piPC10,GGI5,PNSA2,SaaCH,BalabanJ,SlogP_VSA10,FilterItLogS,n6AHRing,PEOE_VSA9,RNCS,SsssN,ZMIC2,Xpc-5dv,PEOE_VSA2,MDEC-33,VSA_EState7,PEOE_VSA7,SRW09,SsCH3,pIC50
CHEMBL341497,c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3)CC2)cc1,2.9084773621340183,0.0,381.576245868377,0.0,0.0,6.001460852859662,5.829864313127279,0.5002777777777778,-515.5529485249714,21.846878035751594,1.169004243571964,5.687386274683562,-3.9483075092779494,1.0,0.0,5.170257715578847,5.1717493386243385,37.6104388035168,1.8876762110704202,4.899909730850478,2.0273234235234026,1.3778897672093018,35.95281934386901,7.753194269884341,0.0,7.43
CHEMBL1202215,Br.Clc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,2.70333707032706,0.0,452.37282908981706,0.0,0.0,5.6818476788863705,5.898526551448713,0.5280555555555556,-671.7259770573131,19.165062966711943,1.6899980054774396e-06,5.687386274683562,-5.497418283976004,1.0,10.710019588424888,4.8370162420123926,5.043017290249433,39.66176305281023,2.3527595791301943,4.899909730850478,2.799110343236914,1.3558938824356392,35.95281934386901,7.753194269884341,0.0,8.3
CHEMBL1202212,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,2.68942233574799,0.0,420.04688542371906,0.0,0.0,5.5899356296016345,5.9828336579087065,0.7225,-615.619449739407,16.8816214015612,1.8224976543781283e-06,5.687386274683562,-6.232619590526715,1.0,10.045266627482652,3.3994022756989515,5.0157914287114025,40.145858662884926,2.4385377275991957,4.899909730850478,3.511764449876613,1.344265774759552,42.01918641233062,7.753194269884341,0.0,6.68
CHEMBL1202209,Br.Cc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,3.7245291824338826,0.0,420.4505041210097,0.0,0.0,7.503260615847195,5.969985515430857,0.6391666666666668,-653.807954409647,16.04838988419897,1.8224976766530713e-06,10.077801322358383,-5.70147534752013,1.0,0.0,3.6085016844459346,4.9958465608465605,33.90319407768128,2.378765996066868,4.899909730850478,3.5962690499447554,1.3346209255945007,54.50637510371824,7.753194269884341,1.9994459217596843,7.17
CHEMBL1202204,Br.COc1c(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,2.57656165429257,0.0,364.9597406421775,0.0,0.0,5.374504249936549,6.115478132515001,0.8961111111111112,-690.0501994901158,14.822449264330395,2.10249692020468e-06,5.687386274683562,-6.4810194720678105,1.0,17.155064168760187,54.913902140940586,4.950516817838246,38.919297454234005,3.010847094284538,4.899909730850478,5.094271868326734,1.3273049247013824,35.95281934386901,7.753194269884341,1.589410647450316,6.64
CHEMBL1202206,Br.COc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,2.5422500214378134,0.0,408.451644274587,0.0,0.0,5.399812811296847,6.083929774780075,0.8022222222222223,-740.05787766697,14.334138479358053,2.102496850604893e-06,5.687386274683562,-6.48101947206781,1.0,17.81981712970242,70.33051299074776,4.9558818505550715,36.618761784731376,2.814937857528902,4.899909730850478,4.354720364146843,1.3011464200515428,54.15192054925384,7.753194269884341,1.7140859133793729,8.16
CHEMBL1202208,Br.Cc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(C)c1,5.732044313696862,0.0,389.29970268550954,0.0,0.0,10.409775618609078,5.969985515430857,0.6391666666666667,-587.7954415039269,17.894718540661557,1.8224976766530713e-06,5.687386274683562,-5.812845278132121,1.0,0.0,2.6277984739982596,5.236587301587301,35.434582712361426,2.561267380802192,4.899909730850478,3.5962690499447554,1.3762875922611673,49.29737816648564,7.753194269884341,4.413562965337892,7.14
CHEMBL1204119,Br.Cc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(C)c1,5.732044313696862,0.0,416.4406172933624,0.0,0.0,10.409775618609078,5.969985515430857,0.6391666666666667,-628.7749382122274,17.894718540661557,1.8224976766530713e-06,5.687386274683562,-5.812845278132121,1.0,0.0,0.0,5.236587301587301,35.434582712361426,2.561267380802192,4.899909730850478,3.5962690499447554,1.3762875922611673,49.29737816648564,7.753194269884341,4.413562965337892,7.35
CHEMBL1202205,Br.COc1ccc(Cl)cc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,2.6231794333512415,0.0,405.0842089656414,0.0,0.0,5.486396902382352,6.028127906479378,0.7572222222222224,-750.503560413441,16.813512908754713,1.959997364153674e-06,5.687386274683562,-5.748727726106131,1.0,12.797183815961095,1.4132671384533737,5.003888888888889,35.23361594130599,2.351720200707038,4.899909730850478,3.6734349638364083,1.3396266648047854,42.019186412330626,7.753194269884341,1.7220278647118474,8.3
CHEMBL1202224,Br.COc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,2.8364841111847237,0.0,406.21927917407646,0.0,0.0,5.8414644764139725,5.9771437421310285,0.673888888888889,-734.2151772676713,19.44729875893562,1.8224976010532837e-06,5.687386274683562,-5.013072071201946,1.0,7.109797541277533,77.17493870287068,5.13010582010582,33.98815584290547,2.0215505506407014,4.899909730850478,2.3441609540526627,1.3637971193753953,48.08555348079223,7.753194269884341,1.7166328696725384,6.12
CHEMBL1202225,Br.Clc1cc(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,2.6485549052418644,0.0,470.02929268395377,0.0,0.0,5.534500626382241,5.988491381628566,0.7225,-675.6752732072306,16.752892738677236,1.8224976766530674e-06,5.687386274683562,-6.232619590526715,1.0,0.0,3.8348407697334945,4.992160336356765,40.145858662884926,2.544540488279542,4.899909730850478,3.5189760322238226,1.341397572535289,42.01918641233062,7.753194269884341,0.0,7.5
